handle,url,name,category,country_focus,program_type,followers_approx,notes
workandtravelj1,https://www.instagram.com/workandtravelj1/,Work and Travel USA,community,Global -> USA,J-1 Summer Work Travel,81000,BridgeUSA J-1 alumni community sharing Work & Travel student experiences
americanworkandtravel,https://www.instagram.com/americanworkandtravel/,American Work and Travel,agency,Global -> USA,J-1 Summer Work Travel,4600,Work and travel experiences in the USA
interexchange,https://www.instagram.com/interexchange/,InterExchange,sponsor,USA (hosts global participants),Multi (SWT / au pair / camp / intern),14000,US Dept of State designated J-1 sponsor; multiple program lines
greenheartexchange,https://www.instagram.com/greenheartexchange/,Greenheart Exchange,sponsor,USA (hosts global participants),Multi (SWT / intern / trainee / high school),8700,Chicago-based designated J-1 sponsor
spiritexchange,https://www.instagram.com/spiritexchange/,Spirit Cultural Exchange,sponsor,USA (hosts global participants),J-1 Summer Work Travel / intern,4800,Oak Park IL based designated J-1 sponsor
camp.usa,https://www.instagram.com/camp.usa/,InterExchange Camp USA,sponsor,Global -> USA,J-1 Camp Counselor,,InterExchange camp counselor program account
ccusa_camps,https://www.instagram.com/ccusa_camps/,Camp Counselors USA (CCUSA),sponsor,Global -> USA,J-1 Camp Counselor,2700,BridgeUSA J-1 sponsor; summer camp jobs in USA Canada Croatia
ccusauk,https://www.instagram.com/ccusauk/,CCUSA UK,agency,UK -> USA,J-1 Camp Counselor,4500,UK recruitment arm of CCUSA
culturalcare,https://www.instagram.com/culturalcare/,Cultural Care Au Pair,agency,Global -> USA,J-1 Au Pair,133000,World's largest au pair agency; global flagship account
culturalcarebr,https://www.instagram.com/culturalcarebr/,Cultural Care Au Pair Brasil,agency,Brazil -> USA,J-1 Au Pair,71000,Brazilian recruitment account of Cultural Care
aupairinamerica,https://www.instagram.com/aupairinamerica/,Au Pair in America,agency,Global -> USA,J-1 Au Pair,55000,America's first au pair agency (since 1986); runs #APiATakeover au pair takeovers
theaupairinamerica,https://www.instagram.com/theaupairinamerica/,Au Pair in America (host families),agency,USA,J-1 Au Pair,6100,US-side account aimed at host families
aupaircare,https://www.instagram.com/aupaircare/,AuPairCare,agency,Global -> USA,J-1 Au Pair,35000,Intrax-owned award-winning au pair agency
au.pair.usa,https://www.instagram.com/au.pair.usa/,Au Pair USA by InterExchange,sponsor,Global -> USA,J-1 Au Pair,5000,InterExchange's au pair program line
